# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.510297868477447292e-01,2.502070973365208374e+03,8.924952949056406265e-03,1.577831609034986871e+00,8.500000000000000000e+02,1.451099532378111157e+01,1.088351773349382512e+02,3.292129158227680846e-02
5.518926721271932845e-01,2.488121109338140741e+03,9.049854882619999194e-03,1.595799824663910682e+00,8.600000000000000000e+02,1.461122154485617131e+01,1.093177533156759154e+02,3.310365054031907950e-02
5.527523324878964583e-01,2.474119691850025447e+03,9.174499191201539866e-03,1.614040902730484728e+00,8.700000000000000000e+02,1.471374680390458600e+01,1.098143193805265412e+02,3.309234664715745428e-02
5.536087030360129502e-01,2.460084684188926076e+03,9.298884421308930767e-03,1.632548303332626904e+00,8.800000000000000000e+02,1.481859552537083324e+01,1.103046141557847903e+02,3.317146919896660912e-02
5.544618949873580949e-01,2.446022166483561705e+03,9.423022047684486216e-03,1.651317572099497477e+00,8.900000000000000000e+02,1.492585286264429634e+01,1.107957259806966874e+02,3.328148720837738328e-02
5.553118740923106422e-01,2.431920028359645585e+03,9.546909162395625717e-03,1.670342391970847329e+00,9.000000000000000000e+02,1.503569427745659404e+01,1.112958112575987144e+02,3.333046758289362477e-02
5.561585034183307297e-01,2.417786908271454195e+03,9.670537080676531311e-03,1.689615949798615846e+00,9.100000000000000000e+02,1.514814008535640788e+01,1.118190278799735466e+02,3.334930494265530426e-02
5.570017316171624877e-01,2.403616812671630669e+03,9.793913624421304170e-03,1.709134286030962624e+00,9.200000000000000000e+02,1.526347958258295812e+01,1.123288732966612997e+02,3.348494395189665490e-02
5.578417081296901392e-01,2.389426900586298416e+03,9.917063556612166347e-03,1.728896557717813698e+00,9.300000000000000000e+02,1.538148224333906988e+01,1.128364215094360077e+02,3.364243537926928790e-02
5.586783894977129794e-01,2.375206671801169705e+03,1.003998719701730546e-02,1.748898488728021006e+00,9.400000000000000000e+02,1.550246634207709207e+01,1.133420264468933993e+02,3.359420748449221811e-02
5.595117214834104402e-01,2.360973749346238037e+03,1.016268301356977079e-02,1.769135823072692792e+00,9.500000000000000000e+02,1.562620526519241615e+01,1.138464736745789168e+02,3.367332958362446310e-02
5.603416858695520197e-01,2.346730336327009809e+03,1.028515426757906949e-02,1.789605485598448453e+00,9.600000000000000000e+02,1.575287886415369876e+01,1.143513320733702301e+02,3.371100704821087396e-02
5.611681270673379851e-01,2.332485822847777399e+03,1.040740165434591441e-02,1.810304152905236386e+00,9.700000000000000000e+02,1.588345927840891036e+01,1.148602494709514161e+02,3.386096268817330446e-02
5.619909221005305877e-01,2.318185831808416879e+03,1.052942689010115569e-02,1.831229371975739317e+00,9.800000000000000000e+02,1.601658264207779681e+01,1.153698201112186865e+02,3.408175210300832397e-02
5.628102907581694625e-01,2.303836512124380533e+03,1.065123230368774342e-02,1.852380266810882192e+00,9.900000000000000000e+02,1.615377225228156632e+01,1.158840494141471140e+02,3.415258548683820783e-02
5.636261939424637157e-01,2.289494656572858275e+03,1.077281764778630427e-02,1.873755273842024005e+00,1.000000000000000000e+03,1.629407059215299469e+01,1.163970484780112571e+02,3.423170798493344047e-02
5.636261939424637157e-01,2.289494656572858275e+03,1.077281764778630427e-02,1.873755273842024005e+00,1.000000000000000000e+03,1.629407059215299469e+01,1.163970484780112571e+02,3.423170798493344047e-02
5.644387176090545077e-01,2.275138770112513612e+03,1.089419656823686217e-02,1.895355397657725538e+00,1.010000000000000000e+03,1.643780962808606816e+01,1.169164450551599117e+02,3.444420881384490513e-02
